route_id,direction_id,first_stop,last_stop,stop_order,stop_id,stop_name
Blue,0,Wonderland,Bowdoin,1,place-wondl,Wonderland
Blue,0,Wonderland,Bowdoin,2,place-rbmnl,Revere Beach
Blue,0,Wonderland,Bowdoin,3,place-bmmnl,Beachmont
Blue,0,Wonderland,Bowdoin,4,place-sdmnl,Suffolk Downs
Blue,0,Wonderland,Bowdoin,5,place-orhte,Orient Heights
Blue,0,Wonderland,Bowdoin,6,place-wimnl,Wood Island
Blue,0,Wonderland,Bowdoin,7,place-aport,Airport
Blue,0,Wonderland,Bowdoin,8,place-mvbcl,Maverick
Blue,0,Wonderland,Bowdoin,9,place-aqucl,Aquarium
Blue,0,Wonderland,Bowdoin,10,place-state,State Street
Blue,0,Wonderland,Bowdoin,11,place-gover,Government Center
Blue,0,Wonderland,Bowdoin,12,place-bomnl,Bowdoin
Blue,1,Bowdoin,Wonderland,1,place-bomnl,Bowdoin
Blue,1,Bowdoin,Wonderland,2,place-gover,Government Center
Blue,1,Bowdoin,Wonderland,3,place-state,State Street
Blue,1,Bowdoin,Wonderland,4,place-aqucl,Aquarium
Blue,1,Bowdoin,Wonderland,5,place-mvbcl,Maverick
Blue,1,Bowdoin,Wonderland,6,place-aport,Airport
Blue,1,Bowdoin,Wonderland,7,place-wimnl,Wood Island
Blue,1,Bowdoin,Wonderland,8,place-orhte,Orient Heights
Blue,1,Bowdoin,Wonderland,9,place-sdmnl,Suffolk Downs
Blue,1,Bowdoin,Wonderland,10,place-bmmnl,Beachmont
Blue,1,Bowdoin,Wonderland,11,place-rbmnl,Revere Beach
Blue,1,Bowdoin,Wonderland,12,place-wondl,Wonderland
Green,0,Lechmere,Boston College,1,place-lech,Lechmere
Green,0,Lechmere,Boston College,2,place-spmnl,Science Park
Green,0,Lechmere,Boston College,3,place-north,North Station
Green,0,Lechmere,Boston College,4,place-haecl,Haymarket
Green,0,Lechmere,Boston College,5,place-gover,Government Center
Green,0,Lechmere,Boston College,6,place-pktrm,Park Street
Green,0,Lechmere,Boston College,7,place-boyls,Boylston
Green,0,Lechmere,Boston College,8,place-armnl,Arlington
Green,0,Lechmere,Boston College,9,place-coecl,Copley
Green,0,Lechmere,Boston College,10,place-hymnl,Hynes Convention Center
Green,0,Lechmere,Boston College,11,place-kencl,Kenmore
Green,0,Lechmere,Boston College,12,place-bland,Blandford Street
Green,0,Lechmere,Boston College,13,place-buest,Boston Univ. East
Green,0,Lechmere,Boston College,14,place-bucen,Boston Univ. Central
Green,0,Lechmere,Boston College,15,place-buwst,Boston Univ. West
Green,0,Lechmere,Boston College,16,place-stplb,Saint Paul Street
Green,0,Lechmere,Boston College,17,place-plsgr,Pleasant Street
Green,0,Lechmere,Boston College,18,place-babck,Babcock Street
Green,0,Lechmere,Boston College,19,place-brico,Packards Corner
Green,0,Lechmere,Boston College,20,place-harvd,Harvard Ave.
Green,0,Lechmere,Boston College,21,place-grigg,Griggs Street
Green,0,Lechmere,Boston College,22,place-alsgr,Allston Street
Green,0,Lechmere,Boston College,23,place-wrnst,Warren Street
Green,0,Lechmere,Boston College,24,place-wascm,Washington Street
Green,0,Lechmere,Boston College,25,place-sthld,Sutherland Road
